Bar Name,Brand Name,Potential Overstock Days
Brown's Bar,Yellow Tail,84
Anderson's Bar,Barefoot,80
Taylor's Bar,Grey Goose,80
Anderson's Bar,Smirnoff,73
Smith's Bar,Yellow Tail,73
Thomas's Bar,Grey Goose,71
Johnson's Bar,Captain Morgan,71
Brown's Bar,Grey Goose,70
Johnson's Bar,Absolut,70
Johnson's Bar,Malibu,70
Smith's Bar,Grey Goose,70
Smith's Bar,Malibu,69
Anderson's Bar,Captain Morgan,69
Brown's Bar,Jameson,69
Johnson's Bar,Barefoot,69
Smith's Bar,Jim Beam,69
Taylor's Bar,Jim Beam,68
Taylor's Bar,Barefoot,68
Thomas's Bar,Bacardi,67
Johnson's Bar,Yellow Tail,67
Johnson's Bar,Sutter Home,66
Smith's Bar,Captain Morgan,66
Anderson's Bar,Jim Beam,66
Brown's Bar,Bacardi,65
Johnson's Bar,Grey Goose,65
Thomas's Bar,Jack Daniels,64
Anderson's Bar,Sutter Home,62
Anderson's Bar,Grey Goose,61
Smith's Bar,Absolut,61
Smith's Bar,Sutter Home,61
Brown's Bar,Jim Beam,61
Taylor's Bar,Captain Morgan,60
Johnson's Bar,Heineken,60
Taylor's Bar,Jameson,60
Thomas's Bar,Smirnoff,60
Thomas's Bar,Malibu,60
Brown's Bar,Barefoot,59
Anderson's Bar,Coors,59
Brown's Bar,Heineken,57
Thomas's Bar,Miller,57
Thomas's Bar,Barefoot,56
Johnson's Bar,Smirnoff,56
Johnson's Bar,Jack Daniels,55
Anderson's Bar,Jameson,55
Brown's Bar,Sutter Home,54
Johnson's Bar,Coors,54
Thomas's Bar,Jim Beam,53
Johnson's Bar,Budweiser,52
Taylor's Bar,Malibu,52
Taylor's Bar,Jack Daniels,52
Thomas's Bar,Absolut,51
Anderson's Bar,Bacardi,51
Anderson's Bar,Jack Daniels,51
Taylor's Bar,Smirnoff,50
Smith's Bar,Heineken,49
Johnson's Bar,Bacardi,48
Smith's Bar,Barefoot,48
Smith's Bar,Jack Daniels,48
Johnson's Bar,Jameson,47
Thomas's Bar,Yellow Tail,47
Brown's Bar,Captain Morgan,46
Brown's Bar,Budweiser,46
Thomas's Bar,Captain Morgan,46
Smith's Bar,Jameson,46
Smith's Bar,Miller,45
Smith's Bar,Bacardi,44
Taylor's Bar,Budweiser,44
Brown's Bar,Absolut,44
Smith's Bar,Budweiser,43
Brown's Bar,Malibu,42
Brown's Bar,Jack Daniels,41
Johnson's Bar,Jim Beam,39
Anderson's Bar,Heineken,37
Taylor's Bar,Sutter Home,37
Taylor's Bar,Coors,37
Anderson's Bar,Miller,37
Taylor's Bar,Yellow Tail,35
Thomas's Bar,Budweiser,35
Anderson's Bar,Yellow Tail,35
Smith's Bar,Smirnoff,35
Thomas's Bar,Heineken,34
Brown's Bar,Miller,34
Johnson's Bar,Miller,34
Taylor's Bar,Bacardi,33
Thomas's Bar,Jameson,33
Anderson's Bar,Absolut,32
Taylor's Bar,Absolut,32
Brown's Bar,Coors,32
Smith's Bar,Coors,31
Taylor's Bar,Heineken,30
Brown's Bar,Smirnoff,29
Anderson's Bar,Budweiser,28
Anderson's Bar,Malibu,27
Thomas's Bar,Sutter Home,27
Thomas's Bar,Coors,26
Taylor's Bar,Miller,23
