Bar Name,Brand Name,Stockout Days
Anderson's Bar,Absolut,7
Thomas's Bar,Yellow Tail,7
Taylor's Bar,Sutter Home,6
Anderson's Bar,Jack Daniels,5
Brown's Bar,Malibu,5
Thomas's Bar,Captain Morgan,5
Brown's Bar,Coors,5
Brown's Bar,Grey Goose,5
Johnson's Bar,Jim Beam,4
Smith's Bar,Budweiser,4
Johnson's Bar,Jameson,4
Smith's Bar,Smirnoff,4
Brown's Bar,Smirnoff,4
Brown's Bar,Jim Beam,4
Anderson's Bar,Miller,3
Anderson's Bar,Malibu,3
Thomas's Bar,Bacardi,3
Johnson's Bar,Heineken,3
Smith's Bar,Jack Daniels,3
Taylor's Bar,Bacardi,3
Taylor's Bar,Jim Beam,3
Taylor's Bar,Smirnoff,3
Taylor's Bar,Yellow Tail,3
Taylor's Bar,Miller,3
Smith's Bar,Jameson,3
Brown's Bar,Yellow Tail,3
Brown's Bar,Jack Daniels,3
Anderson's Bar,Heineken,3
Taylor's Bar,Jameson,3
Thomas's Bar,Jameson,3
Brown's Bar,Barefoot,2
Anderson's Bar,Jim Beam,2
Anderson's Bar,Sutter Home,2
Anderson's Bar,Coors,2
Taylor's Bar,Barefoot,2
Taylor's Bar,Grey Goose,2
Thomas's Bar,Grey Goose,2
Thomas's Bar,Malibu,2
Thomas's Bar,Budweiser,2
Johnson's Bar,Grey Goose,2
Johnson's Bar,Miller,2
Smith's Bar,Sutter Home,2
Smith's Bar,Bacardi,2
Smith's Bar,Jim Beam,2
Johnson's Bar,Sutter Home,2
Anderson's Bar,Yellow Tail,1
Brown's Bar,Sutter Home,1
Brown's Bar,Bacardi,1
Thomas's Bar,Sutter Home,1
Thomas's Bar,Smirnoff,1
Taylor's Bar,Absolut,1
Thomas's Bar,Absolut,1
Taylor's Bar,Captain Morgan,1
Taylor's Bar,Malibu,1
Smith's Bar,Grey Goose,1
Smith's Bar,Yellow Tail,1
Johnson's Bar,Malibu,1
Johnson's Bar,Smirnoff,1
Johnson's Bar,Captain Morgan,1
Anderson's Bar,Captain Morgan,1
Anderson's Bar,Bacardi,1
Johnson's Bar,Coors,1
Anderson's Bar,Barefoot,0
Anderson's Bar,Budweiser,0
Brown's Bar,Miller,0
Brown's Bar,Jameson,0
Brown's Bar,Captain Morgan,0
Brown's Bar,Heineken,0
Brown's Bar,Budweiser,0
Brown's Bar,Absolut,0
Anderson's Bar,Jameson,0
Anderson's Bar,Smirnoff,0
Anderson's Bar,Grey Goose,0
Johnson's Bar,Absolut,0
Johnson's Bar,Barefoot,0
Johnson's Bar,Budweiser,0
Johnson's Bar,Jack Daniels,0
Johnson's Bar,Bacardi,0
Smith's Bar,Heineken,0
Johnson's Bar,Yellow Tail,0
Smith's Bar,Miller,0
Smith's Bar,Malibu,0
Smith's Bar,Coors,0
Smith's Bar,Absolut,0
Smith's Bar,Barefoot,0
Smith's Bar,Captain Morgan,0
Taylor's Bar,Coors,0
Taylor's Bar,Heineken,0
Taylor's Bar,Jack Daniels,0
Taylor's Bar,Budweiser,0
Thomas's Bar,Barefoot,0
Thomas's Bar,Coors,0
Thomas's Bar,Heineken,0
Thomas's Bar,Jack Daniels,0
Thomas's Bar,Jim Beam,0
Thomas's Bar,Miller,0
